"API Error. Order: %s. Message: %s","API Error. Order: %s. Message: %s"
"Cron Syntax","Cron Syntax"
"Email sent.","Email sent."
"Email template","Email template"
"Enable","Enable"
"Job execution has finished.","Job execution has finished."
"Job execution has started.","Job execution has started."
"Like a cron expression: 0 0 * * *","Like a cron expression: 0 0 * * *"
"Magento","Magento"
"MercadoPago","MercadoPago"
"MercadoPago Plus - Account Balance","MercadoPago Plus - Account Balance"
"MercadoPago Plus - Order Status","MercadoPago Plus - Order Status"
"Name","Name"
"Order","Order"
"Recipient","Recipient"
"Save Log","Save Log"
"Select email recipient. You can set multiple addresses separated by , (comma).","Select email recipient. You can set multiple addresses separated by , (comma)."
"Select email sender.","Select email sender."
"Select if the process can be executed.","Select if the process can be executed."
"Send Email","Send Email"
"Sender","Sender"
"The process can not run because it is disabled.","The process can not run because it is disabled."
"There was an error trying to send the email.","There was an error trying to send the email."
"Total","Total"
"Unable to save Cron expression","Unable to save Cron expression"
"Updated At","Updated At"
